id,slug,nom,cp,ville,adresse,departement
"cfe6dca1-9300-4290-8efd-4693f23aee2d","audika-france-02400","AUDIKA FRANCE","02400","","3 Place DE L'HOTEL DE VILLE","02"
"75fde34b-6a3c-4541-99a9-f43caec3750e","audika-france-02200","AUDIKA FRANCE","02200","","16 Rue DU COLLEGE","02"
"4b454f0b-f8ca-44c5-83bf-19918090086f","audika-france-03000","AUDIKA FRANCE","03000","","4 Rue D'ALLIER","03"
"8d30f27b-f28a-4a0f-aa9a-c0281c05ee69","audika-france-03200","AUDIKA FRANCE","03200","","19 Rue DE PARIS","03"
"6ba84a3b-c83e-42ac-b139-3ff556e66b2e","audika-france-03100","AUDIKA FRANCE","03100","","41 Rue DU FBG SAINT-PIERRE","03"
"3092bc15-bf4b-4289-b8fb-2d92d0be4d52","audika-france-06800","AUDIKA FRANCE","06800","","32 Boulevard DU MARECHAL JUIN","06"
"395ccf28-0db7-417b-bcc0-e2e71ee39b69","audika-france-06190","AUDIKA FRANCE","06190","","246  AV. ARISTIDE BRIAND","06"
"fc2c68d8-96ce-4f13-af65-935dfccbac84","audika-france-06200","AUDIKA FRANCE","06200","","23  AV. SAINT-AUGUSTIN","06"
"3c7ba892-c7c7-40a0-9d1b-1245703b6fb9","audika-france-07100","AUDIKA FRANCE","07100","","30 RUE SADI CARNOT","07"
"69a1a84d-287e-41c2-a174-45a4e5d3d39d","audika-france-22600","AUDIKA FRANCE","22600","","9 RUE DE CADELAC","22"
"9c74017e-db20-482e-98c4-a2454bb49e25","audika-france-08200","AUDIKA FRANCE","08200","","3 PLACE CRUSSY","08"
"369e5c9e-2c8f-4819-8cae-bfd0ab02e333","audika-france-11000","AUDIKA FRANCE","11000","","31, RUE ANTOINE MARTY","11"
"adb1c75c-abcd-499e-831e-b39b49719baf","audika-france-45190","AUDIKA FRANCE","45190","","33 Place DU MARTROI","45"
"8cee9a5d-95c2-41b3-b559-7531a0be4062","audika-france-61200","AUDIKA FRANCE","61200","","12/14 RUE ETIENNE PANTHOU","61"
"e76538b0-e4f0-478f-a69f-314fa8a9558c","audika-france-13380","AUDIKA FRANCE","13380","","5 MAIL DU GENERAL DE GAULLE","13"
"5f4cbef0-e5aa-4027-9822-9e90afec5752","audika-france-13400-2","AUDIKA FRANCE","13400","","7 AV. LOULOU DELFIEU","13"
"cc6a3779-58d4-4213-a2ba-86d67f9825d3","audika-france-13400","AUDIKA FRANCE","13400","","3 ROUTE NATIONALE 396","13"
"927bc0e3-ba3d-4444-a848-d24e180dddd4","audika-france-13001","AUDIKA FRANCE","13001","","1, LA CANEBIERE","13"
"590b71d3-dc6f-4c32-8b3b-b13cf084e0f5","audika-france-14100","AUDIKA FRANCE","14100","","42 PL. DE LA REPUBLIQUE","14"
"68b54527-906f-4907-8d9b-87be89f01f37","audika-france-06250","AUDIKA FRANCE","06250","","80  ALLEE DES ORMES","06"
